comment,emotion
一顿早餐一百多块？我滴妈哎，我一般早上都是两根油条，一个茶叶蛋，一笼汤包外加一碗馄饨和一个肉包，这俄罗斯一顿早餐够我好几天了[微笑][微笑][微笑],1
凯撒还行 第一次去的时候感觉装修不错，吃的就还行.第二次去的时候感觉也就那样了[doge],1
@哆啦A梦不是A,0
开餐[星星眼]@HY8jin,-1
"汝夜来喧街，
忽见一小摊。
店长坐椅上，
教女儿炒面。
买一面食之，
见店长腿残。
问其原故后，
方了其悲苦。
随题笔做画，
为冶之其病。
又撒数重金，
望君早康复。",-1
那不就是很多二游都有的那种大厅互动,1
结局七，太震撼了，开始的相互扶持发展，君子和而不同，体会理想与现实的碰撞，到后来朋友的相继离去带来的害怕与无助，再到曼伽失踪的孤独与迷茫，完全体会到了，原来前辈们是走在这样一条无头路上，不知路向何方，也来不及回头看看逝友的容颜，只得挣扎往前[大哭][大哭],0
"虽然吃不到
但是看着就很饱
还是外卖好
[喜极而泣][喜极而泣][喜极而泣]",1
解释一下，预后五年不复发就视为临床上治愈，希望阿姨一家都能好好的。,1
月计难道还是太冷门吗……(红姐真的很帅啊！),1
停云牌牛奶,-1
“生命诚宝贵，爱情价更高；若为自由故，二者皆可抛”出自匈牙利爱国诗人裴多菲的《自由与爱情》。这首诗创作于1847年，1929年由我国“左联五烈士”之一的著名诗人殷夫（白莽）翻译成中文版本，后经鲁迅先生传播，成为中国读者最为熟悉的外国诗歌之一,0
“小朋友，你应该还没到需要内衣的年纪吧？”,1
看见败仗，我马上点进来了[doge],0
个人去过…毫无性价比而且不好吃的…vegas可以说是美食荒漠了,1
莫斯科的物价这么高的吗[笑哭],1
那天我高三，因为是住校，学校要求大家在操场打地铺，我第一次和我女朋友一起睡觉。现在我还记得，当时有震感，我拉着她冲出去的。,0
@章鱼辣子鸡 @所嘞哇豆卡纳 [大哭],1
太强了，原来是互动视频，我还以为会上steam[笑哭],-1
其实核心在于指挥官不仅要给到战略建议，更要输出情绪价值,1
"那年我们都18岁   我和她 我很爱她 我们分开了一年把   我在北京   她在四川   那一年四川地震了    现在我27岁   她还是18。
QQ音乐《童话》评论区看到的，2017年发的，可惜他已经注销账号了",-1
这好像是他唯一一个赞破万的视频??????,1
"诺宝01:02
发现诺艾尔视频，呼叫西风骑士团机器人小队@皇神之影 @武士大师 @像研社-若谋 @绫琮挚爱诺宝 @新骑士团机器人尤里卡 @级以地震-homo烧饼 @邬冨 @蘇维埃与玫瑰 @天青煞tqs @桜-きまずう",0
抱抱牛牛[大哭][大哭][大哭],1
问题来了，为什么流量越来越低了[笑哭],0
我都没注意到拿错灯，果然多看解说是对的,1
谁懂这一幕的杀伤力，大家都在一起[大哭][大哭]之前打完巫师三的结局，石之心血与酒都打了，半天缓不过来劲，空虚了好久，虽然后来开了二周目，但也很少再玩了[大哭][大哭],1
谢谢让我过了一把考上北大还有各种先锋运动的瘾。谢谢你们,-1
@热血男儿不迷茫,0
福没有向善，其实名字一直是猹，moro在制作时犯错误把名字打成福了_(:з」∠)_,1
丸辣！视频里每个圈子我都知道，我的成分是不是有点过于复杂了[doge],0
我很怕他妈妈那边看房子装修好了又会回来说这房子是她的了……,1
[UPOWER_401480763_赞],1
绵羊也要变成馒头仙人了吗？[doge],0
茶杯頭的1大招就沒中過,-1
一个牧民有什么错，错的是拿他当展品来踩在万千读书人头顶的人,0
"转转：旧手机呢？
我：请看",-1
幻術の世界が何が悪い？現実は残酷すぎる,-1
所以鹿，熊呢[笑哭],-1
最后口语是：说到做到！,1
快一年了啊??,1
"我本科是冶金工程的，在大学四年期间，从比赛到大创，再到现在的毕设，总是在前言综述大夸其词，在具体的实验分析部分么，唉，反正就很简略，很粗糙，全是漏洞。
我对未来的规划也没什么具体的规划，从小初高到本科，我其实就只知道好好学习，至于工作?那都是以后去想的事情。所以从大一我就理所当然地认为本科出来就只有读研这一条路，仿佛我这一生都要以学生的身份活着。使我感到高兴的老师的夸奖，是靠前的绩点排名，是成功上岸到更好的高校。
我的毕设是从去年十月份开始正式搞的，因为大创期间的成功并不显著，我便下定决心好好搞毕设，幻想着在毕设时候投递一篇小论文，让大家刮目相看。但是真让我自己去做实验，我才意识到自己是那么的无力，浩如烟海的需要调研的文献，需要从新开始学习的软件，每两周一次的小组会汇报，开始卡住而停滞不前的实验……每一项都在慢慢摧毁着我的心理防线。到现在面临着毕设的结题，我望着我草草了事的实验，心里五感杂陈。
我不适合读研，但是我也没有勇气在本科结束后直接进入社会。我需要硕士文凭来遮蔽我的愚蠢，我需要各种证书来掩盖我内心的荒芜。所以我很佩服那些有勇气去本科毕业直接面对并进入社会的人。
打了好多字，到最后和该视频已经无关了，唉，但是也不舍得删掉，就在这儿直接发吧(?-ι_-｀)",1
以前没有麦时我以为这游戏没小孩哥，现在这个模式开麦，我糙这么多[笑哭],-1
不理解还有那么多夸的，债主手底下也有工人，还等着发工资呢，决定只心搞研究也先把几百万债还了呀。,-1
嚯嚯嚯[汤圆]该到了笑梗不笑人的时候了，某坤都洗白的差不多了[doge],1
那个木头箱子被子弹打的时候可以加入一些飞溅的木屑,1
枪的视角可以往后移一点，还有就是后坐力太小了,-1
赌你m[笑哭][笑哭],-1
我一直固执的认为，判断一个国家的好坏，很重要的一点是对底层人民的关注照顾程度有多少,1
很好的作品，有一种微微笨拙却又非常动人的真情，祝福你、你的父亲以及你们的小店未来也一直光明～,1
能连续跑图26分钟不加载，二游里确实断档了,-1
up略显生涩的配音反而让整个视频看下来更有味道，比一些专业的旁边更能让我体会到你的情感，真的特别棒,1
"是比一般人厉害。但真要是那么厉害，不至于技术换不来钱，技术没啥商业价值。
啥年代小作坊自己捣鼓能出啥技术啊。不是车库手搓电脑的年代了。
咱尊重，但也别尬吹。",1
"剪辑、摄像得分99
服化道80
演员59
诚意100",-1
看到羊肉香精绷不住了，我们这烤羊肉只放三样：盐、孜然、辣椒面，别骗人了,-1
我想的劲爆的俄罗斯内容：深陷俄乌冲突 哈哈哈哈哈,-1
主要是尽管你尽力避免往c盘放东西，桌面，我的文档，安装目录，下载目录什么的都挪走，一大堆软件还是会偷偷摸摸往c盘里面放各种缓存，游戏存档，临时文件，不知所云从没见过的图片之类的[辣眼睛],0
主要是尽管你尽力避免往c盘放东西，桌面，我的文档，安装目录，下载目录什么的都挪走，一大堆软件还是会偷偷摸摸往c盘里面放各种缓存，游戏存档，临时文件，不知所云从没见过的图片之类的[辣眼睛],0
[妙啊]我之前也发过一个类似的视频，从蒙德出生点一路走到纳塔，我感觉不看大地图纯靠小地图还有点难度。我当时在层岩到须弥的时候卡了一会儿，找到不路。须弥沙漠到纳塔很卡了一会儿，转圈圈转了好久，迷失方向，最后总共花了40多分钟才到纳塔。up比我熟练多了，太强了[打call],1
我们这5元一串，3串才有你这一串大,1
"结尾突兀得仿佛不属于这个作品, 但又突然意识到那些低分辨率的画面也突兀得仿佛不属于这个世界",-1
[甜心萌菜动态表情包_大笑][甜心萌菜动态表情包_大笑][甜心萌菜动态表情包_大笑]摸不到,-1
破坏社会共识取得的经济快速发展到底是利是弊，只能交给时间来检验了,-1
我们课题组研究的就是这个激素导致股骨头坏死，再等等好嘛[大哭][大哭][大哭][大哭],1
说真的我玩B站到现在攒了1600多个币了，真想全送给她,1
虽然我第一次知道绵羊是从小潮院长那里，但是在青春旅行团我完完全全被绵羊姐姐圈粉了，真的太可爱了[大哭][大哭][大哭],0
为了蛇年氛围，特地使用了春晚版的改编，突出一种画蛇添足的美感。,-1
为了蛇年氛围，特地使用了春晚版的改编，突出一种画蛇添足的美感。,-1
[喜极而泣],-1
up求高清链接,1
这个没必要学，南方新鲜羊肉少，怎么做都没用，去新疆甘肃内蒙，羊肉串都是个顶个的好吃。[辣眼睛],1
大家是没玩过黄油吗[笑哭],-1
“斯是陋室，惟吾德馨。苔痕上阶绿，草色入帘青。”,1
谁特么发的把手中鞭炮塞进你棉袄，笑死了真的[笑哭][笑哭],0
我还以为是手办（,-1
虽然天天想你亏，但是真亏哥们也心疼啊,1
对A,0
用红柳炭上覆盖红柳细枝熏烤出来的肉串好吃，用红柳串肉烤出来的“红柳串”跟别种肉串区别不大。,1
开赌！,1
开赌！,1
超牛逼的游戏？真能超牛逼？[doge],0
加油吧，喜剧很讲究神情语气，说话的节奏。。。可能就系果几毫秒，几厘的差别,-1
还有表情细节吗？太强了[坎公骑冠剑_吃鸡],-1
很多小朋友都没有电脑能玩，可以来我家玩[星星眼][星星眼]，欢迎18岁以上22岁以下的妹妹来我家玩，我有很多好玩的,1
@吃颗星星-,0
这几天迷上了巨浪，真猛啊，秒刘涛跟m14秒五套似的，碰到就是碎甲，昨天一梭子侧身秒了两个刘涛[喜欢]跟收益一比，泼出去的子弹也算不上太贵了，总比打刘涛半天才碎甲好,1
你这皮肤效果我学一辈子都学不来[饿殍表情包2_呜呜],-1
自制？,1
游戏里也可能给你整成乱七八糟的，选游戏也是必须选择那些精品[doge_金箍],0
求徐白的《在死神未到之前》！！！我怎么百度不到这篇啊！??好想知道他究竟写了什么,1
@伊豆的舞女-,0
"打了一大堆字被秒删[无语]，我只能说丁真梗讽刺的不是盲目追求颜值的女性群体，也不是普通人不努力却能一步登天的社会乱象。
觉得最后一段升华突兀的人，你可能还没明白将丁真推到台前的人究竟是谁[脸红]",0
真人才,1
空洞骑士被frisk斩杀那段应该是前辈被杀，小骑士准备吸收泄露出来的辐光而陷入僵直，所以没能反应frisk的攻击,-1
服务员：小妹妹买童装去隔壁哦[doge],0
手游和端游有很大区别吗？为什么我改枪之后非常抖啊？我还加了几个贴片后坐力的,0
"游戏是世界虚拟化的产物
而你之所以不能活在游戏
是因为有的人不认同你的欲望，使你屈服于强大",-1
我用13香行不行,1
joejoe（全球可飞）[星星眼],1
04:47 up余额只剩231了[大哭][大哭]感动,1
二舅2.0吗？自媒体就喜欢玩这些,1
豪赤豪赤[星星眼],1
我想到最新版QQ直接把我整个D盘都当成它的然后全迁移了，搞得我很多软件如solidworks直接报错[捂脸][捂脸][捂脸],-1
全是我喜欢的唱见，曲和词改的就不评价了，只能说我如果是yousa我会生气，祝大家新年快乐！,1
不是他带来了理塘的发展，而是理塘的发展铸就了他。他无辜，因为他一开始什么都不知道；他可恨，因为他知道以后什么都没有做。,0
其实不太喜欢过度的升华到人民万岁这个层面，这个话题太严肃,1
@琬绾,0
"《我还以为是丘丘人呢》
《我也不容易》
《跟琴团长说去吧》
《我们都在用力地活着》",-1
服务员:怎么前胸贴后背两边都一样啊？,0
这腰看得我眼睛都移不开,1
有点像那个默神。,-1
@音雪飘零 @不会画画的黑砂糖 @点玩儿 @社合包,-1
游戏里你守住了水晶，现实里你守住了小男孩的家[大哭],1
去找当地镇政府，让政府的帮忙解决,-1
省流：绵羊料理塌房了[doge],0
所以说一起灾祸中死1个人或者3个人，可以说是一个或者几个家庭的支离破碎，令人痛心，但是一场战争死亡十万个甚至几百万个人的时候给人的感觉也就是一串数字而已[无语],-1
天津还有卖方便面的摊子？也算是跟首尔一个级别的大城市了[笑哭],1
@无边落木萧萧丶,0
默哀  仍不敢听 6万这个数字，是6万生命的消逝,-1
我还以为在逛慢脚[笑哭],-1
牛哥不哭,1
Live2DViewerEX，手机版电脑版都有[藏狐]而且桌宠这玩意应该比皮套先火起来的吧，想整你oc简单啊，要么自己画要么约稿，本地导入不得了,1
問問up能不能搞一個蝦皮賣東西 我這想支持但幣值不一樣 我哭死[无语][保卫萝卜_哭哭],1
花26万制作一个新手入门的劝退视频，莫大的福报呀。以后开的必须都涨，才配的上你的心意。,-1
其实这个并不建议大家入股，这边的制作有点问题,1
春晚版…只能说看在我推的面子上不骂[hanser动物套装_思索],1
春晚版…只能说看在我推的面子上不骂[hanser动物套装_思索],1
多好的作品啊，凭什么不火[辣眼睛],1
其实群丁里已经写的很清楚了，谁骂我，谁敢骂的只有我,0
个人觉得播放速度过快，很多内容一闪而过，作为互动游戏起码给点时间让人看清楚吧[捂脸]虽然可以暂停看，但那样就有点不像游戏了。个人感觉，不喜勿喷[OK]我之前玩过好几个互动视频，真的就很沉浸式，节奏刚刚好，大多数时候不需要暂停反复看[打call],1
说千言万语讲顶真放牛的辛苦，可谁又不辛苦呢。不要歌颂苦难，只希望大家都不要有苦难了,0
看到艾什莉泪目了[大哭],-1
如果我能斩断那月计的奇点,-1
甜菜,0
哎，真的，不知道怎么说，祝身为底层人的我们，健康平安，疾病都去挑那些资本家把,0
两个月后：不要笑挑战,1
那年我刚毕业参加工作，我得同学在那天牺牲在工作岗位了。,-1
好,1
糖完了,-1
当时我刚刚午睡完，正在去上小学的路上，突然旁边买电动车的店子放在旁边的车筐开始摇动，然后电动车旁边的小卖部的婆婆问是不是有人在摇车筐，当时在场的人说没有人摇，于是婆婆马上反应过来给我们说地震了，然后就看见我们学校的人跑了出来。,0
太棒了,1
六个人是麦晓雯的极限，这句话有两种解释[doge],0
不是，这右下角水印怎么都包浆了,0
6,0
https://b23.tv/BV1c6VZzEEWM,-1
你以为我不想停留，其实我是不敢停留，多一秒种，我的眼眶就会被泪水填满。,-1
第一[星星眼],1
"月入三千的的还同情上月入三千万的了 , 互联网不得不品的一环",-1
秀色可餐啊[哦呼],1
低配或者配好版有没有阿，家里做料太复杂,1
玩m4为什么不玩k4，还是加强版,0
绵羊姐姐[大哭]在视频号上视频昨晚就上了 还以为这边也很快 没关小破站想蹲个前排 熬了一宿也没看着[笑哭],-1
手游有人一起玩吗,-1
为什么外面的都那么好吃，自己一弄没食欲[大哭]，还有我想吃炒牛河,1
最后一个画面是哪个游戏？,1
距我13公里，不算太远，没啥大能力，去支持一下生意,1
@源然-,0
看了他几期视频，好奇的是，他怎么每次都找到困难户，然后每次都找转钱。做视频也没那么转钱吧。哪来的钱，虽然质疑他是托，还是给点赞，投币了,1
昨天刚吃完8块一串预制肉串，上海这个地方好不好吃没人在乎，一定得上镜，离谱！,1
想到了二舅,1
是去看红场阅兵吗[哦呼],1
可以试一下像逃离塔科夫一样，枪械的枪声有回音,1
亲:这里是女式内衣店，没有男款哟[doge][doge],0
@呼噜呼噜大咸鱼 @nonolooooooo @施瓦勋博 @lzz二号,1
我觉得我需要一个人物，像长辈，像大哥，又像朋友兄弟，他存在又不存在，时有时无，带着他出乎意料的不接触世界，像世界的观察者与体验者，最后以未曾设想的方式显示，可能只起到一个引导的作用，有一个不知名的组织或者非常独特的群体，最多四个人，最好是三个人，那个人也是其中之一，打了这么多也三连一下，就当赌注了[OK],1
又来了，看到牛油果生鱼片就有人喊健康,-1
这视频必火，我说的[doge_金箍][doge_金箍],0
@彣墨 @HeatherNicol,1
@豉汁鸡爪 @Meliodas_len 这个有点强,-1
要是可以挖坑，可玩性就大了,-1
"别误会了，经过我两天的经历，大多数指挥官只会说这几句话。
1，能听见吗，这个，我不太熟悉啊，大家看着打
2，A点 先把山头抢下来\注意山头
2，来几个工程威龙去把坦克打了
3，快快，回点回点
4，进进，进点进点
大多数情况只能说聊胜于无??，只能说这个模式还有非常大的改进空间",0
店员:这位顾客请不要背对着我呢[米塔动态_爱心],1
唐完了,-1
就算是画蛇添足版也还得是这些老前辈唱的好听[hanser_痛哭],1
@乔巴很闲,0
给各位看个胜利日飞机编队，焦段不够凑合凑合[doge],1
[甜心萌菜表情包_钢板][甜心萌菜表情包_钢板][甜心萌菜表情包_钢板][夏日萌菜表情包_滑稽],1
1:58 部分立绘放错了吧[藏狐],-1
你翻唱不带yousa也就算了，至少曲得用原版吧[记忆色彩动态表情包_生气气],-1
天哪，艺术,1
这才是我上网想看的视频，而不是内些散播焦虑，引起性别对立的初生,1
@云徙华表空,0
春晚版本的说实话改的不好，但是小缘他们都出来唱了，听着顺耳了许多,1
好喜庆[打call][打call],1
我看到甲方会教丁真识字增学识的时候就觉得还是挺好。如果是无良MCN，他会被啃得渣都不剩。他是突然被卷入名利场的普通人，又是极为幸运的普通人。,1
另一个世界的自己，在那里我是主角，一段丰富多彩的故事,-1
"高三生留个屁股高考后来玩,希望有人能踢一下我",1
压力给到清华,-1
烤肉还得是咸盐辣子孜然[喜欢],1
这模式就看载具的操作,1
两万年前那批来地球的外星人真调皮，埋了一些他们的宠物（恐龙）又埋了一些玉石。,1
做科普不难，难的是兼顾哲学思考、人文关怀和个人风格......毕导在中国科普视频领域真的是断档级的存在[跪了]......,-1
@陳沥妍 我好像进走马灯了,1
"M249轻机枪-烽火地带-6G7M5K00DCOE233JVQ41P
性价比不如我这个，拿枪跑的和刀差不多快还便宜20W[脱单doge]奥利给猛攻兄弟们",1
"新疆挂糊羊肉串原料表：
香料粉原料：打成细粉备用。
挂糊料原料：高筋面粉 150 克、玉米淀粉 100 克、黑胡椒粉 4 克、咖喱粉 10 克、3A 粉 2 克、鸡粉 20 克、味粉 20 克、半颗粒孜然 15 克、香料粉 5 克、姜黄粉 10 克、亚克西 15 克、欧燕齐 5 克、羊肉香精 10 克、特鲜一号 5 克、盐 15 克。
其他原料：羊腿肉、洋葱 100 克、鸡蛋 200 克、清水 150 克、烧烤料油一碗。
红柳羊肉串
复合料粉原料：盐 28 克、砂糖 24 克、白胡椒 16 克、酵母提取物 8 克、咖喱粉 40 克、奥宴奇 30 克、前面准备好的料粉 32 克、肉宝王 10 克、半颗粒孜然 24 克、亚克西 40 克、小苏打 4 克、姜粉 6 克。
其他原料：羊肉 800 克、羊尾油 200 克、全蛋 50 克、清水 40 克、料油 20 克、洋葱 80 克、红柳签子（35cm 长、6mm 粗）",1
笑死 你們才大二 卻已經比那個誰強了,1
缺馕坑，砌一个吧[藏狐],1
"雪豹雪豹张开嘴
让我知道我是谁
镜头往我脸上怼
一瞬间腾飞
利欲不断的向前推
烟杆越来越贵
来沉醉吧沉醉吧
铜臭的滋味
珍珠珍珠请你告诉我
自行车?迈巴赫...",0
好厉害！！,1
觉得玩丁真梗是嫉妒，太过肤浅了，觉得是哀怨做题不如运气，也不够理解，运气好的多得是，流量明星，草根网红，哪一个能享受丁真一样的待遇？看流量明星，网红之流，广大做题家大可以说运气和天生长相终究没办法，再者这些职业终究算不得主流，塔还是离不开我等实干人才，还是讲能力至上的来自我安慰。但娱乐公司，mcn造再多明星和网红，和塔亲自下场造星可不是一个意味，塔掌握着一飞冲天的大道，而且是社会观念中的正道，塔也鼓励着大家能者多得，用汗水拼搏出自己的美好未来，结果你现在告诉我你想让谁一飞冲天谁就一飞冲天，哪怕对方是个大字不识、游手好闲的混子青年，至于那些不指望运气而是希冀勤劳致富的做题家们？以前说的话逗你玩的，继续多劳去吧。,1
退坑一两年发现二创的还是熟悉的那几个角色,-1
改曲的那一段好突兀，感觉格格不入[保卫萝卜_哭哭],1
为什么是暗杀流？因为正面打不过,0
"用剪影的看过来
剪影缓存

C:\Users\用户名\AppData\Local\JianyingPro\User Data\Cache\",1
现实做打工人，游戏当超级英雄,1
我都不敢想出现一个失误拍自己大腿得多狠[笑哭],-1
难绷的是 ak三倍满改也只需要30w左右,1
海里出来的是吧,-1
焦虑了一下,1
“论b站如何被赌博小鬼搞成网络赌场”[doge],0
嗯？你怎么知道我这几天打算清一清高达50g莫名其妙文件的c盘,0
bro没玩过汤姆猫,1
我赌！我要跟随你！我相信你！,-1
女生正在玩手机的时候被抢了，这时候手机应该没锁才对啊[思考],0
我在俄罗斯吃的最少的就是俄餐，价格贵还不符合我的胃口，倒是中亚餐挺香的hhh,1
cs可莉,0
农民都反对地主，那又哪个农民不想当地主呢？所以封建社会就是合理的？,1
@甩甩没的大号 @玖旰 @我不叫cyyyy,-1
这个电脑区up的话可信吗[doge_金箍],0
果然拍戏要很大的成本  [兔兔岛_睡觉],1
既然噩梦化的定义是获得整个游戏的能量，那噩梦化史蒂夫和创哥有什么区别,0
去找温迪喝完酒独自回家的玛薇卡 be like,1
老赖现在也搞得这么清新脱俗吗,-1
你信这个还是信我是秦始皇,-1
天空属于（         ）,1
夜宵,0
[捂眼],1
兄弟们，手游环境怎么样，最近不能开麦所以没敢打这个模式，怕坑人,0
[笑哭][笑哭][笑哭],1
好多这种二舅文案，看得有些腻了，工业这种东西嘛，在中国想骗人，这一行还是难度太高了，还是整点手工、农牧业差不多了，还想孵化个二舅2.0什么的赛道有点选歪了,1
zzzq的产物，最经典的就是这个以及小美人鱼,1
所以这是结局了？没有后续了吗,-1
"frisk:你说的很对，但是喜不喜欢我的
自身防御99护甲防具99
自身伤害99武器攻击99
不好兄弟们我残血了（存档）骗你的
纯粹的数值，好像目前除了恶魔化sans被瞬秒之外，剩下吃过的亏好像后面都打回去了（）",1
啊？？绵羊已经一千多万粉了？？,1
那年胳膊断了，挂着石膏还是给汶川捐了一个星期的零花钱,1
好几年没听到这首歌了[tv_流泪]这视频做的真的太有感觉了,1
先把地图做一下可以嘛,-1
@10号披萨,0
玩法？,1
我懂了，就是说原来毕导更新10个视频带给观众们的快乐，现在需要更新100个才能达到同样的感知效果。毕导，你快加紧更新1000个视频吧，为了这10000个视频评论区的大家什么都会做的[星星眼],0
不知道都在燃什么，这个不是很早之前就有吗？,0
刚排到一局没人竞选，让一个小孩哥当了，全程都在那喊冲冲冲，其他的别管，冲，进点，冲冲冲[卡拉彼丘收藏集_喝茶],1
"地球的意识流（文化艺术，包括二次元）已经超载了，且物质流（物质建设）也已经超载了。超载的意思是文明等级已经达到修仙级别了。可至今仍未开启修仙时代，这背后一定有阴谋！迪西（耶稣）的统治范围是地球而非宇宙。地球上的人天天预谋对迪西（天线宝宝）谋反。地球上的真实统治者可能并非迪西一个。地球人天天追读玄幻修仙小说，却默认（对，是默认而非宣传）唯物主义，一天天不务正业，一天天不怕死，一天天不修仙。【不修仙就得死】这个道理在老版《西游记》中的开头就说了。老猴子死孙悟空问其他猴子猴子都会死吗，然后因为怕死而去往灵台方寸山。
不修仙就得死！
唯物主义也可以修仙啊，《仙王的日常生活》都说了可以科技修仙。",0
谢谢，看了up的视频已经不敢进大坝了[绘之音表情包_倒霉],-1
？这是什么很新的技术么,0
夫妻都患癌的，真的建议查一下居住环境，是不是新换的房子甲醛之类的有害气体超标啊？有些是致癌气体的,-1
@小小小小草莓儿,0
